period,hour,nr_oreb
00:00-00:15,0,1.0
00:15-00:30,0,2.0
00:30-00:45,0,3.0
00:45-01:00,0,4.0
01:00-01:15,1,5.0
01:15-01:30,1,6.0
01:30-01:45,1,7.0
01:45-02:00,1,8.0
02:00-02:15,2,9.0
02:15-02:30,2,10.0
02:30-02:45,2,11.0
02:45-03:00,2,12.0
03:00-03:15,3,13.0
03:15-03:30,3,14.0
03:30-03:45,3,15.0
03:45-04:00,3,16.0
04:00-04:15,4,17.0
04:15-04:30,4,18.0
04:30-04:45,4,19.0
04:45-05:00,4,20.0
05:00-05:15,5,21.0
05:15-05:30,5,22.0
05:30-05:45,5,23.0
05:45-06:00,5,24.0
06:00-06:15,6,25.0
06:15-06:30,6,26.0
06:30-06:45,6,27.0
06:45-07:00,6,28.0
07:00-07:15,7,29.0
07:15-07:30,7,30.0
07:30-07:45,7,31.0
07:45-08:00,7,32.0
08:00-08:15,8,33.0
08:15-08:30,8,34.0
08:30-08:45,8,35.0
08:45-09:00,8,36.0
09:00-09:15,9,37.0
09:15-09:30,9,38.0
09:30-09:45,9,39.0
09:45-10:00,9,40.0
10:00-10:15,10,41.0
10:15-10:30,10,42.0
10:30-10:45,10,43.0
10:45-11:00,10,44.0
11:00-11:15,11,45.0
11:15-11:30,11,46.0
11:30-11:45,11,47.0
11:45-12:00,11,48.0
12:00-12:15,12,49.0
12:15-12:30,12,50.0
12:30-12:45,12,51.0
12:45-13:00,12,52.0
13:00-13:15,13,53.0
13:15-13:30,13,54.0
13:30-13:45,13,55.0
13:45-14:00,13,56.0
14:00-14:15,14,57.0
14:15-14:30,14,58.0
14:30-14:45,14,59.0
14:45-15:00,14,60.0
15:00-15:15,15,61.0
15:15-15:30,15,62.0
15:30-15:45,15,63.0
15:45-16:00,15,64.0
16:00-16:15,16,65.0
16:15-16:30,16,66.0
16:30-16:45,16,67.0
16:45-17:00,16,68.0
17:00-17:15,17,69.0
17:15-17:30,17,70.0
17:30-17:45,17,71.0
17:45-18:00,17,72.0
18:00-18:15,18,73.0
18:15-18:30,18,74.0
18:30-18:45,18,75.0
18:45-19:00,18,76.0
19:00-19:15,19,77.0
19:15-19:30,19,78.0
19:30-19:45,19,79.0
19:45-20:00,19,80.0
20:00-20:15,20,81.0
20:15-20:30,20,82.0
20:30-20:45,20,83.0
20:45-21:00,20,84.0
21:00-21:15,21,85.0
21:15-21:30,21,86.0
21:30-21:45,21,87.0
21:45-22:00,21,88.0
22:00-22:15,22,89.0
22:15-22:30,22,90.0
22:30-22:45,22,91.0
22:45-23:00,22,92.0
23:00-23:15,23,93.0
23:15-23:30,23,94.0
23:30-23:45,23,95.0
23:45-24:00,23,96.0
23:45-00:00,23,96.0
03:00-02a:15,2,
02a:15-02a:30,1,
02a:30-02a:45,1,
03a:00-03:15,2,
02a:45-03a:00,1,
02:00-03:15,1,
